id,topic,subtopic,difficulty,text,keywords
py_001,variables,basics,beginner,"Переменная в Python — это именованная область памяти. Тип определяется автоматически при присваивании: x = 10 (int), y = 3.14 (float), name = ""Alice"" (str).","переменная,присваивание,тип,динамическая типизация"
py_002,types,core,beginner,"Основные типы данных: int (целые), float (дробные), str (строки), bool (True/False), None (пустое значение). Проверка типа: type(variable).","типы данных,int,float,str,bool,none,type"
py_003,strings,operations,beginner,"Строки объединяются оператором +, дублируются *, интерполируются через f-строки: f""Привет, {name}!"". Индексация с 0, срезы строка[start:stop].","строки,конкатенация,f-строки,индексация,срезы"
py_004,input_output,io,beginner,"input() всегда возвращает строку. Для чисел нужно преобразование: int(input()) или float(input()). print() выводит данные, параметры sep и end управляют разделителями.","ввод,вывод,input,print,преобразование типов"
py_005,operators,math_logic,beginner,"Арифметика: + - * / (обычное деление), // (целочисленное), % (остаток), ** (степень). Логика: and or not. Сравнение: == != > < >= <=.","операторы,арифметика,логика,сравнение"
py_006,control_flow,conditionals,beginner,"if/elif/else проверяет булевы выражения. Отступы обязательны (PEP 8: 4 пробела). Пример: if x > 0: print(""Pos"") elif x == 0: print(""Zero"") else: print(""Neg"").","условия,if,elif,else,ветвление"
py_007,control_flow,for_loop,beginner,"for перебирает элементы итерируемого объекта. range(start, stop, step) генерирует числа, stop не включается. Пример: for i in range(5): print(i).","цикл for,range,итерация,перебор"
py_008,control_flow,while_loop,beginner,"while выполняется, пока условие истинно. Опасность бесконечного цикла, если условие не меняется. break прерывает цикл, continue пропускает итерацию.","цикл while,break,continue,бесконечный цикл"
py_009,control_flow,loop_else,intermediate,"Конструкция for...else и while...else: блок else выполняется, если цикл завершился естественно без break. Полезно для поиска с проверкой наличия.","else в циклах,поиск,break,управление потоком"
py_010,control_flow,common_errors,beginner,"Частая ошибка: изменение списка во время итерации. Решение: итерировать по копии for x in lst[:] или использовать списковое включение.","ошибки циклов,изменение коллекции,копия списка"
py_011,functions,basics,beginner,"Функция объявляется через def name(params):. Возврат значения через return. Без return функция возвращает None. Параметры могут быть позиционными и именованными.","функции,def,return,параметры,аргументы"
py_012,functions,defaults,intermediate,"Аргументы по умолчанию вычисляются один раз при определении функции. Опасно использовать изменяемые типы (list/dict) как значение по умолчанию. Лучше использовать None.","аргументы по умолчанию,изменяемые объекты,none,ловушка"
py_013,functions,scope,intermediate,"Область видимости: локальные внутри функции, глобальные снаружи. global позволяет изменять глобальную переменную, но это плохая практика. nonlocal для вложенных функций.","область видимости,local,global,nonlocal,пространство имен"
py_014,functions,lambda,intermediate,"Анонимные функции lambda args: expression. Используются для коротких операций с map(), filter(), sorted(key=...). Не поддерживают сложные блоки кода.","lambda,анонимная функция,map,filter,sorted"
py_015,functions,docstrings,beginner,"Документирующие строки пишутся сразу после def в тройных к\"\u0430вычках. Доступны через help(func) или func.__doc__. Стандарт PEP 257.","docstring,документация,help,pep257"
py_016,structures,lists,beginner,"Список [] — изменяемая упорядоченная коллекция. Поддерживает дубликаты. Методы: append(), extend(), insert(), pop(), remove(), sort(), reverse(). Срезы lst[start:stop:step].","списки,изменяемость,методы списков,срезы"
py_017,structures,tuples,beginner,"Кортеж () — неизменяемая упорородоченная коллекция. Быстрее списков, используется для защиты данных и как ключи в словарях. Распаковка: a, b = (1, 2).","кортежи,неизменяемость,распаковка,ключи словаря"
py_018,structures,dicts,beginner,"Словарь {} — пары ключ: значение. Ключи должны быть хешируемыми. Доступ: d[""key""] или d.get(""key"", default). Методы: keys(), values(), items().","словари,ключи,значения,get,items"
py_019,structures,sets,beginner,"Множество set() — неупорядоченная коллекция уникальных элементов. Операции: объединение |, пересечение &, разность -, симметричная разность ^.","множества,уникальность,операции над множествами"
py_020,structures,comprehensions,intermediate,"Генераторы: списковые [x for x in iter if cond], словарные {k: v for ...}, множественные {x for ...}. Быстрее и читаемее циклов for с append().","генераторы,списковые включения,dict comprehension,оптимизация"
py_021,errors,try_except,beginner,"Обработка ошибок: try/except/else/finally. except ловит конкретные исключения. Exception ловит всё, но скрывает баги. Всегда указывай тип ошибки.","исключения,try,except,finally,обработка ошибок"
py_022,errors,raise,intermediate,"Генерация исключений: raise ValueError(""Неверное значение""). Кастомные исключения наследуются от Exception. Используются для валидации входных данных.","raise,кастомные исключения,валидация,ValueError"
py_023,files,io,beginner,"Открытие файлов: with open(""file.txt"", ""r"", encoding=""utf-8"") as f:. Контекстный менеджер with автоматически закрывает файл. Режимы: r, w, a, b.","файлы,open,with,контекстный менеджер,режимы доступа"
py_024,files,json,beginner,"Работа с JSON: import json. json.dumps(data) → строка, json.loads(string) → объект. json.dump()/json.load() для файлов. Сериализует dict, list, str, int, float, bool, None.","json,сериализация,dumps,loads,работа с файлами"
py_025,files,pathlib,intermediate,"Модуль pathlib (современный) vs os.path. Path(""dir/file.txt"").read_text(), .exists(), .parent, .suffix. Кроссплатформенная работа с путями.","pathlib,пути,файловая система,кроссплатформенность"
py_026,oop,classes,intermediate,"Класс: class Name:. Метод __init__(self, ...) — конструктор. self ссылается на экземпляр. Атрибуты создаются внутри методов или на уровне класса.","классы,init,self,экземпляр,атрибуты"
py_027,oop,methods,intermediate,"Методы экземпляра получают self. @staticmethod не получают self/cls. @classmethod получают cls. Используются для фабрик и альтернативных конструкторов.","методы,staticmethod,classmethod,фабрики,инкапсуляция"
py_028,oop,inheritance,intermediate,"Наследование: class Child(Parent):. super().__init__() вызывает конструктор родителя. Переопределение методов. Множественное наследование требует осторожности (MRO).","наследование,super,переопределение,mro,полиморфизм"
py_029,oop,magic,advanced,"Магические методы: __str__ (для print), __repr__ (для отладки), __len__, __getitem__, __eq__. Позволяют интегрировать класс в встроенные функции и операторы.","магические методы,dunder,repr,str,len,getitem"
py_030,modules,import,beginner,"Импорт: import module, from module import func, import module as alias. __name__ == ""__main__"" защищает код от выполнения при импорте. Пакеты — директории с __init__.py.","импорт,модули,пакеты,main,alias"
py_031,style,pep8,beginner,"PEP 8 — стандарт оформления. Переменные: snake_case, классы: CamelCase, константы: UPPER_CASE. Отступы 4 пробела, строки до 79 символов. Инструменты: flake8, black.","pep8,стиль кода,нейминг,линтеры,форматирование"
py_032,debugging,tools,beginner,"Отладка: print() для простых случаев, logging для продакшена, breakpoint() для интерактивной отладки. Используй IDE-дебаггер с точками останова и пошаговым выполнением.","отладка,print,logging,breakpoint,ide,пошаговое выполнение"
py_033,env,venv,beginner,"Виртуальные окружения изолируют зависимости. Создание: python -m venv .venv. Активация: .venv\Scripts\activate (Win) или source .venv/bin/activate (Linux/Mac). Не коммить .venv в Git.","venv,виртуальное окружение,зависимости,изоляция,активация"
py_034,typing,hints,intermediate,"Аннотации типов: def func(x: int) -> str:. Не влияют на выполнение, но помогают IDE и mypy. Модуль typing для сложных типов: List, Dict, Optional, Union.","type hints,аннотации,mypy,typing,статический анализ"
py_035,pitfalls,common,beginner,"Частые ошибки: = вместо ==, изменение списка при итерации, изменяемые объекты по умолчанию в функциях, забывание self в методах, путаница is и ==.","ошибки новичков,ловушки,best practices,отладка"
